date,source_file,weather_system,region,height_km,pressure_level,status
2025-06-21,AIWS 20250621.docx,Low Pressure Area,"central assam across northwest rajasthan, cyclonic circulation over northeast rajasthan, north madhya pradesh, cyclonic circulation associated",1.5,,
2025-06-21,AIWS 20250621.docx,Cyclonic Circulation (CYCIR),central parts of assam,1.5,,lay over
2025-06-21,AIWS 20250621.docx,Cyclonic Circulation (CYCIR),rayalaseema.,0.0,,
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),,0.0,,
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),bangladesh,0.0,,
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),central assam,1.5,,
2025-06-22,AIWS 20250622.docx,Low Pressure Area,bangladesh,4.5,,
2025-06-22,AIWS 20250622.docx,Trough,,3.1,,
2025-06-22,AIWS 20250622.docx,Trough,,0.0,,merged
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.9,,lay over
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),gangetic west bengal & neighbourhood around 25th june.,0.0,,
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),northeast rajasthan & neighbourhood,0.0,,became less marked
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),central parts of assam,0.0,,became less marked
2025-06-22,AIWS 20250622.docx,Cyclonic Circulation (CYCIR),east madhya pradesh,0.0,,
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),southeast uttar pradesh & neighbourhood,0.0,,lay over
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh,0.0,,extended
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),"central parts of south uttar pradesh to northwest bay of bengal across northeast madhya pradesh, jharkhand & north odisha",0.0,,
2025-06-23,AIWS 20250623.docx,Trough,long.,0.0,,
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),saurashtra & kutch,3.1,,lay over
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood,0.0,,persisted
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),westcentral,0.0,,lay over
2025-06-23,AIWS 20250623.docx,Low Pressure Area,bangladesh,3.1,,
2025-06-23,AIWS 20250623.docx,Low Pressure Area,,0.0,,became less marked
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),bangladesh,0.0,,became less marked
2025-06-23,AIWS 20250623.docx,Cyclonic Circulation (CYCIR),marathwada.,0.0,,
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh extending upto 5.8 km above m.,0.0,,
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),"central parts of south uttar pradesh to northwest bay of bengal across northeast madhya pradesh, jharkhand & north odisha extending upto 1.5 km above m.",0.0,,
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh,0.9,,
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),south jharkhand & neighbourhood between 3.1,0.0,,lay over
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),south jharkhand & neighbourhood,3.1,,
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),northeast assam & neighbourhood lay over central assam & neighbourhood,0.9,,lay over
2025-06-24,AIWS 20250624.docx,Cyclonic Circulation (CYCIR),westcentral,0.0,,became less marked
2025-06-24,AIWS 20250624.docx,Trough,long.,0.0,,
2025-06-24,AIWS 20250624.docx,Trough,marathwada,0.0,,
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh lay over central parts of northeast madhya pradesh of today morning.,0.0,,lay over
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh lay over central parts of northeast madhya pradesh of today morning.,0.0,,persisted
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal,0.0,,persisted
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),south jharkhand & neighbourhood ran from northeast arabian sea to the cyclonic circulation over northwest bay of bengal,0.0,,
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),"northeast madhya pradesh across south gujarat, north madhya maharashtra",0.0,,extended
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),central assam & neighbourhood,0.0,,became less marked
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh,0.0,,became less marked
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),south jharkhand & neighbourhood,0.0,,became less marked
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),"northwest bay of bengal adjoining north odisha-west bengal coasts across northern parts of rajasthan, cyclonic circulation over central parts of northeast madhya pradesh, north chhattisgarh",0.0,,
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-25,AIWS 20250625.docx,Cyclonic Circulation (CYCIR),"east uttar pradesh, marathwada",0.0,,
2025-06-26,AIWS 20250626.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal,0.0,,
2025-06-26,AIWS 20250626.docx,Cyclonic Circulation (CYCIR),north odisha,0.0,,
2025-06-26,AIWS 20250626.docx,Low Pressure Area,northeast madhya pradesh ran from northeast arabian sea to low pressure area over northwest bay of bengal,0.0,,extended
2025-06-26,AIWS 20250626.docx,Cyclonic Circulation (CYCIR),central parts of northeast madhya pradesh,0.9,,persisted
2025-06-26,AIWS 20250626.docx,Cyclonic Circulation (CYCIR),bihar.,0.0,,
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),southwest rajasthan of today morning.,0.0,,lay over
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),southwest rajasthan of today morning.,0.0,,persisted
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),"southwest rajasthan to bangladesh across east rajasthan, north madhya pradesh, north jharkhand, gangetic west bengal",0.0,,extended
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),northwest bay of bengal,0.0,,extended
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),,0.0,,merged
2025-06-27,AIWS 20250627.docx,Trough,"south gujarat, northern parts of madhya maharashtra, vidarbha, chhattisgarh between 4.5 & 5.8 km above m.",0.0,,
2025-06-27,AIWS 20250627.docx,Trough,,0.0,,merged
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),north bay of bengal,0.0,,
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),northeast madhya pradesh,0.9,,
2025-06-27,AIWS 20250627.docx,Cyclonic Circulation (CYCIR),arunachal pradesh,0.0,,
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),saurashtra & kutch & adjoining northeast arabian sea,0.0,,extended
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),"saurashtra & kutch & adjoining northeast arabian sea, a low-pressure area formed over saurashtra & kutch",0.0,,
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),southwest bangladesh & adjoining gangetic west bengal,0.0,,extended
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),southwest bangladesh & adjoining gangetic west bengal,0.0,,persisted
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),gangetic west bengal,0.0,,
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh,0.0,,extended
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),"southwest rajasthan to bangladesh now ran from the upper air cyclonic circulation over southwest bangladesh & adjoining gangetic west bengal to northeast madhya pradesh across jharkhand, north chhatti",4.5,,
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),northeast assam,0.9,,lay over
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),southwest rajasthan,0.0,,extended
2025-06-28,AIWS 20250628.docx,Cyclonic Circulation (CYCIR),east madhya pradesh,0.0,,
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),southwest bangladesh,0.0,,
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),southwest bangladesh,0.0,,persisted
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),"north odisha, gangetic west bengal & jharkhand during next 2 days.",0.0,,
2025-06-29,AIWS 20250629.docx,Trough,northwest bay of bengal,0.0,,
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),south rajasthan & adjoining north gujarat to the cyclonic circulation associated,0.0,,
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),north haryana & neighbourhood,0.0,,extended
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh,1.5,,persisted
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),,0.0,,became less marked
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),south rajasthan & adjoining north gujarat,0.0,,extended
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),central parts of north arabian sea,0.0,,extended
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),northeast assam,0.9,,
2025-06-29,AIWS 20250629.docx,Cyclonic Circulation (CYCIR),"assam & meghalaya, bihar, marathwada, coastal",0.0,,
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),,0.0,,extended
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),"north odisha, gangetic west bengal & jharkhand during next 2 days.",0.0,,
2025-06-30,AIWS 20250630.docx,Low Pressure Area,coastal gangetic west bengal & neighbourhood,0.0,,
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),"coastal gangetic west bengal & neighbourhood across southeast uttar pradesh, jharkhand,",0.0,,extended
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),central parts of south uttar pradesh merged,0.0,,merged
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),south rajasthan & adjoining north gujarat,3.1,,persisted
2025-06-30,AIWS 20250630.docx,Low Pressure Area,south rajasthan & adjoining north gujarat to the cyclonic circulation associated,0.0,,became less marked
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),north haryana & neighbourhood,0.0,,became less marked
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),central parts of north arabian sea,0.0,,became less marked
2025-06-30,AIWS 20250630.docx,Cyclonic Circulation (CYCIR),marathwada,0.0,,
